name,domains,web_pages,country,alpha_two_code,state-province
Coastal Alabama Community College,['coastalalabama.edu'],['http://www.coastalalabama.edu/'],United States,US,
Purdue University Northwest,['pnw.edu'],['https://www.pnw.edu/'],United States,US,
Columbia Basin College,['columbiabasin.edu'],['http://www.columbiabasin.edu/'],United States,US,
Seattle Colleges,['seattlecolleges.edu'],['https://www.seattlecolleges.edu/'],United States,US,
Lipscomb University,['lipscomb.edu'],['https://www.lipscomb.edu/'],United States,US,
Tiffin University,['tiffin.edu'],['http://www.tiffin.edu/'],United States,US,
NorthCap University,['ncuindia.edu'],['http://www.ncuindia.edu/'],India,IN,Haryana
Troy University,['troy.edu'],['https://troy.edu/'],United States,US,
42 US,['student.42.us.org'],['http://www.42.us.org/'],United States,US,
California Baptist University,['calbaptist.edu'],['http://www.calbaptist.edu/'],United States,US,
Stevenson University,['stevenson.edu'],['http://www.stevenson.edu/'],United States,US,
Marine Biological Laboratory,['mbl.edu'],['http://www.mbl.edu/'],United States,US,
Maryville University,['maryville.edu'],['http://www.maryville.edu/'],United States,US,
The Art Institutes,['aii.edu'],['http://www.aii.edu/'],United States,US,
University of Mississippi Medical Center,['umc.edu'],['http://www.umc.edu/'],United States,US,
University of Central Oklahoma,['uco.edu'],['http://www.uco.edu/'],United States,US,
Hallmark University,['hallmarkuniversity.edu'],['http://www.hallmarkuniversity.edu/'],United States,US,
Keiser University,['keiseruniversity.edu'],['http://www.keiseruniversity.edu/'],United States,US,
St. Johns River State College,['sjrstate.edu'],['http://www.sjrstate.edu/'],United States,US,
Indian River State College,['irsc.edu'],['http://www.irsc.edu/'],United States,US,
Barnard College,['barnard.edu'],['http://www.barnard.edu/'],United States,US,
California Southern University,['calsouthern.edu'],['http://www.calsouthern.edu/'],United States,US,
University of La Verne,['laverne.edu'],['http://www.laverne.edu/'],United States,US,
Washington & Jefferson College,['washjeff.edu'],['http://www.washjeff.edu/'],United States,US,
University of the People,['uopeople.edu'],['http://www.uopeople.edu/'],United States,US,
Touro College,['touro.edu'],['http://www.touro.edu/'],United States,US,
New Jersey City University,['njcu.edu'],['http://www.njcu.edu/'],United States,US,
